reviewer_id,rating,title,text,date,review_url
35,1,UNFAeHIGKEIT 2.0,"UPDATE 13.11.2025:Auf die Beschwerde gehen wir natuerlich nicht ein...Und an eure komische social Email Adresse habe ich schon lange geschrieben...Kommt Antwort?Neee!!!!Wieso bildet ihr euch ein, dass Anwaelte gratis Klagen schreiben nur damit ihr dann Deckung geben koennt???Wieso schickt ihr Affen eine Kuendigung mit dem Gerichtsvollzieher?Habt ihr zuviel Geld oder was!!!Update Ende.So ist die CAPITOL Versicherung.Mein Name istSTROMBERGBERND StrombergLeiter Schadenregulierung A-LSeit 3 Monaten gibt es keine automatische Bestaetigung, wenn du eine Email geschrieben hast.Das bedeutet, du musst jeder Email hinterher telefonieren. Das kommt dann bei den Deppen so an, als wenn es mal wieder zu lange dauert.Keine Ahnung von gar nix!!!Rechnungen sind angeblich nicht sichtbar.Rechte Hand weiss nicht was die linke Hand tut.Wir haben ueberwiessen.Wir haben nicht ueberwiesen, weil wir die andere Rechnung nicht lesen koennen.AlsoDie Rechnung vom Anwalt kannst du lesen.Die Rechnung von der Justizkasse kannst du nicht lesen.Deshalb zahlst du NIX!Briefe kommen in die App.Seit 1 Jahr kein Zugriff auf die DrecksApp.Also musst du wieder anrufen, damit du deine Briefe als Email bekommst.Du musst jedem Schaden hinterher telefonieren.Fachliche Mitarbeiter kriegst du gar nicht ans Telefon.Ich schreib es auf, die Kollegen melden sich.Dann kommen sinnlose Rueckfragen.Die kannst du dann per Email beantworten, bekommst keine Antwort, rufst wieder an und der Kreis geht von vorne los.Was haben die eigentlich gemacht, als es keine Computer gab???Die Bayern haben eine Eingabe gemacht, deine Rechtsschutz soll dich jetzt auch vor Gericht vertreten, so wie ein Anwalt.Da muss ich ja lachen.Kuendigung haben dich auch geschickt:Zugestellt mit dem Gerichtsvollzieher!!!",2025-11-10,https://de.trustpilot.com/reviews/691204903c451d5c3edcc0a2
36,1,Unprofessioneller geht es kaum,"Sehr geehrte Damen und Herren,Der Service ist mehr als ungenuegend.Ich habe sofort per Email gekuendigt und bis heute keine Bestaetigung oder gar eine Antwort erhalten. Unprofessionell und ueberhaupt nicht kundenbindend.Sehr,Sehr enttaeuschend !",2025-10-10,https://de.trustpilot.com/reviews/6911adee66a65af038ecd6fa
37,1,...noch immer kein Rechtsschutz moeglich wegen ungerechter Kuendigung `?!?,"Dezember ´24 hatte ich einen Verkehrsunfall bei dem ich wegen unklarer Sachlage einen Anwalt hinzuziehen musste - ueber die OeRAG und meine RSV. - Daraufhin wurde mir mein Vertrag seitens der OeRAG innerhalb kuerzester Zeit gekuendigt wegen Inanspruchnahme des Anwalts. - Das Problem fuer mich ist nun, dass ich auf Grund dieser unfairen und ungerechten Kuendigung bis zum heutigen Datum und OHNE weitere/vorherige Inanspruchnahme der RSV bei KEINER RSV aufgenommen werde. - Man kommt sich vor wie ein Schwerverbrecher...Vielen herzlichen Dank liebe OeRAG !!! dafuer - ""grossartiger Service"" !!!",2025-11-07,https://de.trustpilot.com/reviews/690e0a4da811281644463999
38,1,Wenn man sie mal braucht...,Ich denke die finden immer einen Grund sich aus der Haftung zu nehmen.Bei mir ging es um einen Kauf bei eBay der nicht funktioniert hat. Haendler hat Ruecktritt wegen Defekt nicht akzeptiert.Da es um ein Aussenbordmotor (Wasserfahrzeuge sind nicht versichert) geht haben die Deckung abgelehnt.,2025-11-06,https://de.trustpilot.com/reviews/690c773587d0760de1bd5147
39,1,Enttaeuscht und frustriert – im Ernstfall allein gelassen,"Ich habe meine Rechtsschutzversicherung jahrelang bezahlt – in dem Glauben, im Ernstfall gut abgesichert zu sein. Doch als ich sie wirklich gebraucht habe, wurde ich bitter enttaeuscht.In meinem Kuendigungsschutzverfahren hat mein Anwalt sich fuer mich eingesetzt, war kulant und hat sogar auf Gebuehren verzichtet. Die Versicherung hingegen kuerzte die Kostenuebernahme mit Verweis auf eine sogenannte Quotenregelung – angeblich wegen „nicht streitiger“ Punkte wie Zeugnis und Freistellung, obwohl diese laengst erledigt waren und gar nicht zur Debatte standen.Das Ergebnis: Ich bleibe auf einem hohen Teil der Kosten sitzen. Die Berechnung wirkt wie eine juristische Spitzfindigkeit, die mit echter Unterstuetzung nichts zu tun hat. Als Versicherungsnehmer fuehlt man sich in so einer Situation schlicht im Stich gelassen.Vertrauen entsteht nicht durch schoene Broschueren, sondern durch Hilfe, wenn man sie wirklich braucht. Mein Fazit: Ich bin enttaeuscht – und habe die Versicherung gekuendigt.",2025-10-01,https://de.trustpilot.com/reviews/69087c88ba99d55c6f4d9bb5
40,1,Hier passt leider gar nichts…,"Ich wollte ueber meine Erfahrungen berichten.Versicherung moechte am Markt ggue. Mitbewerbern mit GROSSSPURIGEN VERTRAGSBEDINGUNGEN und/oder besonders „attraktiven Praemienkonditionen“ auftrumpfen.Damit sie im Ranking von Vergleichsportalen vorne erscheint.Im Fall der Faelle wird sie spaeter das meiste NICHT bezahlen.Wehrt alle vertraglich zugesicherten Leistungen ab,Der dumme Kunde wird es schon fressen!Da kann man auch getrost zur Konkurrenz gehen da spart man auch noch wenn man kleinere Abstriche bei den Bedingungen macht, die vielleicht nicht essentiell wichtig sind,Der Kunde sucht einen bestmoeglichen Vertrag zu guten Konditionen.Der Kunde sucht nicht einen passenden Vertrag um das vertraglich Zugesicherte NICHT zu bekommen.Der Kunde benoetigt keine Versicherung die fuer ihn im Fall der Faelle zur Existenzbedrohung wird.Der Kunde gibt eine Leistung naemlich sein Geld, um eine Gegenleistung zu erhalten.Sonst koennte er sein Geld gleich in eine Slot Machine oder rueckwaerts in den Brunnen werfen!Meine Meinung dazu;Mehr Schein als Sein.Die Versicherung kann sich ihre grossspurigen Vertragsbedingungen sparen wenn diese nur auf dem Papier (schriftlich) bestehen. Aber nicht im Schadensfall geleistet wird!Das nennt man naemlich MOGELPACKUNG.Um es zu mal zu erwaehnen, fuer die die „checken“ und vergleichen unter der Seite mit dem Namen …24Das gleiche gilt fuer BAVARIA DIREKT. > Ist der gleiche Konzern.Das gleiche gilt fuer VERSICHERUNGSKAMMER BAYERN> Wieder das Gleiche.Anderer Name, gleicher Konzern, gleicher Terz..,",2025-10-03,https://de.trustpilot.com/reviews/69032b1930b478da01224087
41,3,Aufwendige Erfassung des Geburtsdatums…,Aufwendige Erfassung des Geburtsdatums bei Erstanmeldung. Man muss jeden Monat rueckwaerts anklicken ?!?Das Dokument/Rechnung war nicht abrufbar.,2025-10-25,https://de.trustpilot.com/reviews/68fcd89cf651f7924a9275d7
42,1,Auch dieser Stern ist schon zu viel,"Auch dieser Stern ist schon zu viel. Wir haben die OeRAG seit Jahren und, man sucht sich nicht aus, dass man krank ist und Rechtsschutz braucht. Nun habe ich einen strafrechtlichen Fall eingereicht und um Deckungszusage gebeten, konnte die telefonische Hotline, welche wirklich sehr schlecht ist nicht klaeren, musste das per Mail machen und bekam eine Absage mit Saetzen, die sich widersprechen und einem auf deutsch Vosatz unterstellt wird, obwohl sie ja davon ausgehen dass man es nicht macht. Weiterhin uebernehmen die auch bei Schadensersatzanspruechen nicht. Unfassbar, dass man so behandelt wird und man bleibt trotz Versicherung im Regen stehen. Scheinbar sind wir denen auch zu teuer geworden, da wir gegen die Krankenkasse und wegen Gdb sowie einem Blitzer in Anspruch nehmen mussten.",2025-10-23,https://de.trustpilot.com/reviews/68fa848b0b155673fa4378f0
43,5,sachliche,"sachliche, qualifizierte Bearbeitung.",2025-10-21,https://de.trustpilot.com/reviews/68f75bf9a8cb909b80a9b032
44,5,bisherige Zusammenarbeit,bisherige Zusammenarbeit war gut und soweit effektiv,2025-10-18,https://de.trustpilot.com/reviews/68f3c2a31eea16ca79901959
45,5,Erste Hilfe im Rechtschutz,"Aufgrund eines konkreten Falls habe ich mich telefonisch an meine Rechtschutzversicherung Oerag gewandt.Ich konnte unmittelbar bei einem Rechtsanwalt, zu dem ich verbunden wurde, eine telefonische Erstberatung einholen. Es erfolgte eine sofortige Pruefung der Kostenuebernahme und Einschaetzung der Erfolgsaussichten.Ja sogar eine Anwaltsempfehlung in meiner Heimatstadt habe ich bekommen mit dem Hinweis dass ich natuerlich selbstverstaendlich auch einen anderen Anwalt aufsuchen kann. Ich fuehlte mich sehr gut aufgehoben und bestens betreut.Hervorragender Kundenservice, sehr freundlicher Umgangston am Telefon was leider heute nicht mehr selbstverstaendlich ist.Alfred Fischer",2025-10-17,https://de.trustpilot.com/reviews/68f27819b95ea012d60c9724
46,5,Unkompliziert,"Unkompliziert, nette Beratung. Die App ist einfach und sicher zu bedienen.Danke.",2025-10-15,https://de.trustpilot.com/reviews/68ef9a75ffa96348d8c0cd63
47,1,Ich habe seit 5 Jahren diese…,"Ich habe seit 5 Jahren diese Rechtsschutzversicherung und habe kuerzlich sogar meine Haftpflicht dort abgeschlossen, was ich wahrscheinlich zur naechsten Kuendigungsfrist korrigieren werde.Nun wurde ich gekuendigt, da ich zu teuer bin, weil ich zwei Faelle in einem Jahr hatte, die angeblich den gesamten Betrag, den ich eingezahlt habe, um 10% ueberragen.Dies hat man mir am Telefon erklaert, nachdem einmal das Telefon in der Diskussion verstummte und beim zweimal wurde ich unzaehlige Male weitergeleitet.Es geht aktuell um eine Klage beim Sozialgericht.Dort fallen keine Gerichtsgebuehren an und der Anwalt hat zwei Aktenzeichen fuer einen Fall erhalten, obwohl ich die Klage selbst eingereicht habe und erst danach den Anwalt zu Hilfe gezogen habe.Somit sind keine zwei Faelle in einem Jahr entstanden sondern lediglich zwei Aktenzeichen zu einem Fall.Zudem wurde mir eine Liste mit allen Faellen zugeschickt, naemlich insgesamt 6.Davon wurden zwei abgelehnt, ein Fall automatisch geschlossen obwohl ich noch keine Rechnung vom Anwalt erhalten habe und ein weiterer Fall wurde ebenfalls geschlossen aber scheinbar akzeptiert.Dabei hat man mir am Telefon gesagt, dass Unterhaltspflichtverletzung nicht abgedeckt ist, aber wenn ich erfolgreich war, dann kann ich mich nochmals melden.Was soll dies fuer eine Versicherung sein, die mir die Zusage erst erteilt, wenn ich erfolgreich war?Somit hat man mich auch noch belogen, denn der Schadensfall wurde aufgenommen, aber ich habe einmal ueber Prozesskostenhilfe einen Anwalt gehabt und einmal privat.Jeder weiss, dass man mit Prozesskostenhilfe keine Faelle gewinnt.Deswegen habe ich eine Rechtsschutzversicherung.Somit sind vier 0 Euro Faelle aufgelistet und zwei letzte Faelle in einem Jahr, die ein Fall sind.Das ist eine Frechheit.Ich nehme die Versicherung einmal tatsaechlich mit einer Zuzahlung von mehreren hundert Euro in Anspruch und werde gekuendigt, mit der Angabe von sechs Schaeden, von denen vier keinerlei Auswirkungen hatten und 2 ein Schadensfall darstellen.Ich werde mich (kostenpflichtig fuer die OeRAG und gratis fuer Verbraucher) ueber die:Versicherungsombudsmann e.V.beschweren, sollte meine Kuendigung nicht zurueckgezogen werden.Mein Fall vor dem Sozialgericht ist noch nicht Mal abgeschlossen und die Versicherung geht direkt davor aus, dass ich Kosten verursacht habe, obwohl die Krankenkasse die Kosten uebernehmen muss, sollte ich gewinnen.Nachdem ein Fall verloren wurde, koennte ich dies noch verstehen, aber waehrend der Klage zu kuendigen, ist ein sehr kundenunfreundliches Vorgehen, zumal die Behauptung der hohen Kosten die ich verursacht habe, ueberhaupt noch nicht geklaert ist.Eine neue Versicherung, erhalte ich durch die Kuendigung der OeRAG allerdings nirgends mehr, auch wenn die Kosten von der Krankenkasse zurueck erstattet werden muessen.Die Unterhaltspflichtverletzung war offensichtlich abgedeckt, sonst waere die nicht aufgelistet und ohne Ankuendigung geschlossen worden,Aber durch falsche Beratung am Telefon, konnte ich keinen vernuenftigen Anwalt engagieren und die Unterhaltspflichtverletzung in Hoehe eines 5 Stellingen Betrages, ist mir verloren gegangen.Am Telefon wollte man mir auch nicht die Bezeichnung der letzten zwei Schadensfaelle zuschicken.Erst nach massiver Forderung wurde dem zugestimmt.Ob ich die Informationen noch zugeschickt bekomme, werde ich sehen.Ich wuerde mich freuen, wenn meine Kuendigung erst ausgesprochen wird, wenn ich die Klage tatsaechlich verlieren sollte und der OeRAG tatsaechlich Kosten durch mich entstanden sind, bzw wenn ich tatsaechlich zwei Faelle innerhalb eines Jahres habe.",2025-10-14,https://de.trustpilot.com/reviews/68ee8f793ce5ce10a7e299a8
48,1,Fuer mich ist das enttaeuschend und unfair,"Ich war seit ueber 8 Jahren Kunde bei der OeRAG Rechtsschutzversicherung und habe jedes Jahr ca. 300 € Beitraege bezahlt. In dieser ganzen Zeit hatte ich nie einen Fall – bis dieses Jahr, wo ich zweimal Rechtsschutz in Anspruch nehmen musste.Statt Unterstuetzung habe ich die Kuendigung bekommen. Angeblich sind zwei Faelle schon „zu viel“. Die Kosten fuer dieses Jahr lagen bei rund 1.300 €, aber dass ich zuvor jahrelang regelmaessig gezahlt habe, ohne Leistungen zu beanspruchen, scheint keine Rolle zu spielen.Fuer mich ist das enttaeuschend und unfair – nach so langer Treue einfach vor die Tuer gesetzt zu werden. Ich kann die OeRAG daher leider nicht weiterempfehlen.",2025-10-14,https://de.trustpilot.com/reviews/68ee59bc887c86be66d33234
49,2,Seit 8 Jahren dort,"Seit 8 Jahren dort, eigentlich wollte ich nur eine Beratung und wenn was es an SB kostet. Abgelehnt welches ich nicht verstanden habe. Die Hotline weiss nix und kann nix, ausser Schaeden aufnehmen. Rueckruf aus dem Fachbereich nach 1 Woche nicht moeglich. Anhoerungsbogen muss aber innerhalb einer Woche beantwortet werden. Egal Kuendigung ist raus.",2025-10-06,https://de.trustpilot.com/reviews/68eb9e189967fb00a8b05b94
