name,rating,title,text,date,review_url
Kunde,3,"Na ja, geht so","Mit der Örag habe ich bis auf eineAusnahme keine so guten Erfahrungen gemacht. Telefonisch schnippische Mitarbeitende, wenig kooperativ. Bei Anfragen könnenkeine Dateianhänge mit geschickt werden. Die Informationen auf der Internetseite kommen bei mir als sehr abwehrend und nicht sehr kundenorientiert herüber.",19. Dezember 2025,https://de.trustpilot.com/reviews/69457734dd343d2fff1b3a31
Biko,1,Sehr schlechtes Unternehmen (abzocke),"Sehr schlechtes Unternehmen, macht Rechtschutz konnte mir aber bei allen 3 Fällen nicht weiter helfen. Wozu Zahl ich da Beiträge wenn die Fälle nicht im Service Angebot abgedeckt sind. Einfach unprofessionell, der Support hilft auch nicht liefert zudem patzige Antworten. Niewieder.",1. Dezember 2025,https://de.trustpilot.com/reviews/69442160c0413f9787d9c77e
René Müller,1,Sogar der eine Stern ist schon…,Sogar der eine Stern ist schon übertrieben. Wer keine anderen Hobbys hat zahlt den Betrug!!! aber mehr darf man nicht erwartet.Wie kann das sein das sowas überhaupt existiert und nicht Verboten ist.Vor allem die Ki Bots und Schreiberlinge die versuchen die Bewertung noch aufrecht zuhalten.Wenn das lesen wie zufrieden die Leute sind. alles nur Inszenierung nix davon ist Wirklichkeit.,15. Dezember 2025,https://de.trustpilot.com/reviews/6940007795f3bf674874d004
Roland S.,5,"ÖRAG-unkompliziert, schnell und preiswert",Antragstellung und Versicherungsbestätigung sowie Versand der Versicherungsunterlagen - alles verlief reibungslos. Der Tarif ist preiswert.,10. Dezember 2025,https://de.trustpilot.com/reviews/6939875bc81e43a917e8cfeb
Michaela Geda,5,Bin rundum  zufrieden,Bin rundum  zufrieden. Gott sei dank brauchte ich die Versicherung nicht allzu häufig aber das Anliegen was ich hatte wurde komplett von Anfang bis Ende übernommen und ich wurde top beraten,30. April 2025,https://de.trustpilot.com/reviews/69396bf794cec5bb12d32444
Stefan Ginal,5,Schnelle und erfolgreiche Bearbeitung…,Schnelle und erfolgreiche Bearbeitung meines Anliegens.,10. Dezember 2025,https://de.trustpilot.com/reviews/69394f9bfd45a39367ad6049
Martina,1,halten die Zusage einer Übernahme nicht ein,"Ich habe meine Rechtsschutzversicherung jahrelang bezahlt – in der Hoffnung, im Ernstfall gut abgesichert zu sein.Doch als ich sie im Rahmen einer Kündigung im Sommer 2025 brauchte, wurde ich enttäuscht.Die Örag will trotz Zusage der Übernahme die RA-Rechnung bis heute (Dez.) nicht bezahlen.Mein Anwalt war kulant und verzichtete auf Gebühren, reduzierte den Streitwert und die Rechnung.Die Versicherung kürzte die Kostenübernahme nochmals nach interner Regelung.Das entbehrt jeder Rechtsgrundlage.Der RA will nun die Differenz von mir. Er hat seinen Job korrekt gemacht.Am Ende bleibe ich als Arbeitslose auf Kosten sitzen.Statt Einhaltung der Zusage der Kostenübernahme gibt es monatelang juristische Spitzfindigkeiten, so dass selbst der RA aufgibt. Und die Örag ist gegenüber mir kaltschnäuzig und frech am Telefon.Ich bin frustriert, finanziell doppelt geschädigt durch Kündigung des AG und die Örag.Ich habe gekündigt und kann es nun allen anderen empfehlen, die bei der Örag noch versichert sind.",9. Dezember 2025,https://de.trustpilot.com/reviews/6938623ec31893ea0de9a556
Klaus,5,Sehr guter Service,Sehr guter Service und gut überschaubare App,9. Dezember 2025,https://de.trustpilot.com/reviews/6937e21e43c743c4d0faf542
Thomas Rupert,1,Nach einem Verkehrsdelikt in England…,"Nach einem Verkehrsdelikt in England bekam ich ca. 2 Monate später eine Zahlungsaufforderung.Auf Grund des späten Eingangs der Zahlungsaufforderung waren die  Zahlungsfristen längst überschritte. Da ich kein Risiko eingehen wollte habe ich mich an die ÖRAG gewandt.Die mir von der ÖRAG mehrfach empfohlenen Rechtsanwälte haben alle abgelehnt, da England nicht mehr EU-Recht sei.Beim nächsten telefonischen Kontakt mit der ÖRAG und der Bitte mir einen zuständigen Rechtsanwalt zu nennen wurde dies lapidar abgelehnt.„Man bezahle die Rechtsberatung, aber einen Rechtsanwalt solle ich mir selbst übers Internet in England suchen.“Ich habe zum nächstmöglichen  Termin gekündigt!",18. Juni 2025,https://de.trustpilot.com/reviews/69370569c38d839d74de458c
Do B,5,Mein Recht darauf ist Verlass,Ich kann nur sagen sehr schnell in der Korrespondenz und alles problemlos.  Sehr empfehlenswert,1. Dezember 2025,https://de.trustpilot.com/reviews/693314f0a60724493e449757
Rainer Unangst,5,Zuverlässiger Partner,"Ich bin voll uns ganz zufrieden. Mein Anliegen wird zuverlässig bearbeitet. Ich kann nicht ""klagen"" ;-)",4. Dezember 2025,https://de.trustpilot.com/reviews/6931786f1966d90e967bc67b
Mirjana Radulovic,1,💩💩💩💩,Totale Schrott von der Versicherung!!!,2. Dezember 2025,https://de.trustpilot.com/reviews/692f268d5b30fc6f694971ca
Micha,3,(Keine) Kostenübernahme einer Rechtsberatung,"Als langjährig Versicherter musste ich leider hinnehmen, dass die Örag die Rechtsberatung einer Fachanwältin nicht übernahm. Die Kosten von rund 200 Euro waren relativ gering. Damit wurde ein viel kostspieliger Prozess vermieden, den sie dann gezahlt hätte. Diese Logik verstehe ich nicht.Update: Nach einem Brief an die Örag cc socialmedia wurde doch bezahlt. Immerhin. Warum dann nicht sofort? 1 Stern gibt es mehr. Das Vertrauen ist aber gestört.",28. November 2025,https://de.trustpilot.com/reviews/692f24d189cf2def3eddbf5d
Murat Öz,1,Privat und gewerblich bei denen…,Privat und gewerblich bei denen versichert..(bald nicht mehr) man kann sich nicht mal verteidigen lassen weil alles abgelehnt wird..selbst info gespräch muste ich selber zahlen wofür dann 50 euro im Monat ?,2. Dezember 2025,https://de.trustpilot.com/reviews/692f1b769ffc66a471ebe449
Charly,1,Unseriös,"Rechtschutzversicherung am 17.11.2025 fristgerecht zum 31.12.2025 gekündigt.Jetzt versuchen diese Nepper Schlepper Bauernfänger mir Kündigung zum 01.01.2026 unterjubeln.Vorsicht Nepper, Schlepper, Bauernfänger",28. November 2025,https://de.trustpilot.com/reviews/692995d5033d607e53ed31cf
Nicole Letti,1,Schlechter Service im Callcenter keine…,Schlechter Service im Callcenter keine Antwort,28. November 2025,https://de.trustpilot.com/reviews/692985d6d149c4f9e1413c36
Günter Fontius,3,Schnelles Aktivieren umständlich.,Schnelles Aktivieren umständlich.Weil für das Eingebe des Geburtstagsdatum auf Grund einer festen Voreinstellung des aktuellen Tages ein Zurückblättern in meinem Fall von 80x 12 Monaten notwendig war. Das voreingestellte Datum ließ sich nicht einfach überschreiben.,26. November 2025,https://de.trustpilot.com/reviews/692746a4297aa8bf90ebfda3
Oli,5,Super einfache online Anmeldung,Super einfache online Anmeldung,26. November 2025,https://de.trustpilot.com/reviews/6926f1e51e7cb42b9d2ede7f
Jürgen Allendörfer,5,Einfache Registrierung in wenigen…,Einfache Registrierung in wenigen Schritten,25. November 2025,https://de.trustpilot.com/reviews/6926129602fc7f46ffa259be
Holger Damaschke,5,schnelle telefonische Erreichbarkeit,,25. November 2025,https://de.trustpilot.com/reviews/6925c122f0b3463137f70a6e
Alfred Reichart,5,Die wenigen bisherigen Streitfälle…,"Die wenigen bisherigen Streitfälle wurden anstandslos übernommen und durch die Anwälte (bis auf den Fall mit RA Christian Mergenthaler, Lindenberg, zu meiner vollen Zufriedenheit gelöst.Dieser Rechtsanwalt ist ohne jegliche Information einfach verschwunden! Da konnte die ÖRAG nichts dafür!",25. November 2024,https://de.trustpilot.com/reviews/6925a4e62c103fa163fff687
Maurice,1,Totale Schrott Versicherung,Totale Schrott Versicherung. Es ging um eine Rechtstreitigkeit beim kauf einer Immobilie. Von der Örag ist in so einem Fall nichts versichert. Nichtmal der Erstbesuch eines Anwalts. Versicherung ist absolut nicht zu empfehlen.,20. November 2025,https://de.trustpilot.com/reviews/691ec6434a764462e6ac32d1
Thor Sten,1,Update 18.11.2025:,"Update 18.11.2025:Nachdem die ÖRAG erst mal von nichts wußte, wurde ich dann weitergeleitet an eine andere Abteilung. Ich hatte dort dann auch kundgetan, das ich im Prinzip ja auch gewillt bin die Summe zurückzuzahlen, aber als Bürgergeldempfänger kann ich es z.Zt. nicht. Seit dem keine Nachrichten mehr von der ÖRAG! Heute habe ich dann einen Mahnbescheid bekommen! wieder Mehrkosten! Wenn man schon am Boden liegt auch noch Nachtreten! Ich würde hier, wenn es ginge negativsterne verteilen! 1 Stern sind noch 10 zuviel!",18. November 2025,https://de.trustpilot.com/reviews/691c7f8dc7eb074b3fa910e7
Bratwurst,1,UNFÄHIGKEIT 2.0,"UPDATE 13.11.2025:Auf die Beschwerde gehen wir natürlich nicht ein...Und an eure komische social Email Adresse habe ich schon lange geschrieben...Kommt Antwort?Neee!!!!Wieso bildet ihr euch ein, dass Anwälte gratis Klagen schreiben nur damit ihr dann Deckung geben könnt???Wieso schickt ihr Affen eine Kündigung mit dem Gerichtsvollzieher?Habt ihr zuviel Geld oder was!!!Update Ende.So ist die CAPITOL Versicherung.Mein Name istSTROMBERGBERND StrombergLeiter Schadenregulierung A-LSeit 3 Monaten gibt es keine automatische Bestätigung, wenn du eine Email geschrieben hast.Das bedeutet, du musst jeder Email hinterher telefonieren. Das kommt dann bei den Deppen so an, als wenn es mal wieder zu lange dauert.Keine Ahnung von gar nix!!!Rechnungen sind angeblich nicht sichtbar.Rechte Hand weiss nicht was die linke Hand tut.Wir haben überwiessen.Wir haben nicht überwiesen, weil wir die andere Rechnung nicht lesen können.AlsoDie Rechnung vom Anwalt kannst du lesen.Die Rechnung von der Justizkasse kannst du nicht lesen.Deshalb zahlst du NIX!Briefe kommen in die App.Seit 1 Jahr kein Zugriff auf die DrecksApp.Also musst du wieder anrufen, damit du deine Briefe als Email bekommst.Du musst jedem Schaden hinterher telefonieren.Fachliche Mitarbeiter kriegst du gar nicht ans Telefon.Ich schreib es auf, die Kollegen melden sich.Dann kommen sinnlose Rückfragen.Die kannst du dann per Email beantworten, bekommst keine Antwort, rufst wieder an und der Kreis geht von vorne los.Was haben die eigentlich gemacht, als es keine Computer gab???Die Bayern haben eine Eingabe gemacht, deine Rechtsschutz soll dich jetzt auch vor Gericht vertreten, so wie ein Anwalt.Da muss ich ja lachen.Kündigung haben dich auch geschickt:Zugestellt mit dem Gerichtsvollzieher!!!",10. November 2025,https://de.trustpilot.com/reviews/691204903c451d5c3edcc0a2
Andre Schumann,1,Unprofessioneller geht es kaum,"Sehr geehrte Damen und Herren,Der Service ist mehr als ungenügend.Ich habe sofort per Email gekündigt und bis heute keine Bestätigung oder gar eine Antwort erhalten. Unprofessionell und überhaupt nicht kundenbindend.Sehr,Sehr enttäuschend !",10. Oktober 2025,https://de.trustpilot.com/reviews/6911adee66a65af038ecd6fa
Karl Karlson,1,...noch immer kein Rechtsschutz möglich wegen ungerechter Kündigung `?!?,"Dezember ´24 hatte ich einen Verkehrsunfall bei dem ich wegen unklarer Sachlage einen Anwalt hinzuziehen musste - über die ÖRAG und meine RSV. - Daraufhin wurde mir mein Vertrag seitens der ÖRAG innerhalb kürzester Zeit gekündigt wegen Inanspruchnahme des Anwalts. - Das Problem für mich ist nun, dass ich auf Grund dieser unfairen und ungerechten Kündigung bis zum heutigen Datum und OHNE weitere/vorherige Inanspruchnahme der RSV bei KEINER RSV aufgenommen werde. - Man kommt sich vor wie ein Schwerverbrecher...Vielen herzlichen Dank liebe ÖRAG !!! dafür - ""großartiger Service"" !!!",7. November 2025,https://de.trustpilot.com/reviews/690e0a4da811281644463999
Marcus,1,Wenn man sie mal braucht...,Ich denke die finden immer einen Grund sich aus der Haftung zu nehmen.Bei mir ging es um einen Kauf bei eBay der nicht funktioniert hat. Händler hat Rücktritt wegen Defekt nicht akzeptiert.Da es um ein Außenbordmotor (Wasserfahrzeuge sind nicht versichert) geht haben die Deckung abgelehnt.,6. November 2025,https://de.trustpilot.com/reviews/690c773587d0760de1bd5147
Ulrike Vick,1,Enttäuscht und frustriert – im Ernstfall allein gelassen,"Ich habe meine Rechtsschutzversicherung jahrelang bezahlt – in dem Glauben, im Ernstfall gut abgesichert zu sein. Doch als ich sie wirklich gebraucht habe, wurde ich bitter enttäuscht.In meinem Kündigungsschutzverfahren hat mein Anwalt sich für mich eingesetzt, war kulant und hat sogar auf Gebühren verzichtet. Die Versicherung hingegen kürzte die Kostenübernahme mit Verweis auf eine sogenannte Quotenregelung – angeblich wegen „nicht streitiger“ Punkte wie Zeugnis und Freistellung, obwohl diese längst erledigt waren und gar nicht zur Debatte standen.Das Ergebnis: Ich bleibe auf einem hohen Teil der Kosten sitzen. Die Berechnung wirkt wie eine juristische Spitzfindigkeit, die mit echter Unterstützung nichts zu tun hat. Als Versicherungsnehmer fühlt man sich in so einer Situation schlicht im Stich gelassen.Vertrauen entsteht nicht durch schöne Broschüren, sondern durch Hilfe, wenn man sie wirklich braucht. Mein Fazit: Ich bin enttäuscht – und habe die Versicherung gekündigt.",1. Oktober 2025,https://de.trustpilot.com/reviews/69087c88ba99d55c6f4d9bb5
Chlodwig,1,Hier passt leider gar nichts…,"Ich wollte über meine Erfahrungen berichten.Versicherung möchte am Markt ggü. Mitbewerbern mit GROSSSPURIGEN VERTRAGSBEDINGUNGEN und/oder besonders „attraktiven Prämienkonditionen“ auftrumpfen.Damit sie im Ranking von Vergleichsportalen vorne erscheint.Im Fall der Fälle wird sie später das meiste NICHT bezahlen.Wehrt alle vertraglich zugesicherten Leistungen ab,Der dumme Kunde wird es schon fressen!Da kann man auch getrost zur Konkurrenz gehen da spart man auch noch wenn man kleinere Abstriche bei den Bedingungen macht, die vielleicht nicht essentiell wichtig sind,Der Kunde sucht einen bestmöglichen Vertrag zu guten Konditionen.Der Kunde sucht nicht einen passenden Vertrag um das vertraglich Zugesicherte NICHT zu bekommen.Der Kunde benötigt keine Versicherung die für ihn im Fall der Fälle zur Existenzbedrohung wird.Der Kunde gibt eine Leistung nämlich sein Geld, um eine Gegenleistung zu erhalten.Sonst könnte er sein Geld gleich in eine Slot Machine oder rückwärts in den Brunnen werfen!Meine Meinung dazu;Mehr Schein als Sein.Die Versicherung kann sich ihre großspurigen Vertragsbedingungen sparen wenn diese nur auf dem Papier (schriftlich) bestehen. Aber nicht im Schadensfall geleistet wird!Das nennt man nämlich MOGELPACKUNG.Um es zu mal zu erwähnen, für die die „checken“ und vergleichen unter der Seite mit dem Namen …24Das gleiche gilt für BAVARIA DIREKT. > Ist der gleiche Konzern.Das gleiche gilt für VERSICHERUNGSKAMMER BAYERN> Wieder das Gleiche.Anderer Name, gleicher Konzern, gleicher Terz..,",3. Oktober 2025,https://de.trustpilot.com/reviews/69032b1930b478da01224087
Bernd G.,3,Aufwendige Erfassung des Geburtsdatums…,Aufwendige Erfassung des Geburtsdatums bei Erstanmeldung. Man muss jeden Monat rückwärts anklicken ?!?Das Dokument/Rechnung war nicht abrufbar.,25. Oktober 2025,https://de.trustpilot.com/reviews/68fcd89cf651f7924a9275d7
Kathrin Förster,1,Auch dieser Stern ist schon zu viel,"Auch dieser Stern ist schon zu viel. Wir haben die ÖRAG seit Jahren und, man sucht sich nicht aus, dass man krank ist und Rechtsschutz braucht. Nun habe ich einen strafrechtlichen Fall eingereicht und um Deckungszusage gebeten, konnte die telefonische Hotline, welche wirklich sehr schlecht ist nicht klären, musste das per Mail machen und bekam eine Absage mit Sätzen, die sich widersprechen und einem auf deutsch Vosatz unterstellt wird, obwohl sie ja davon ausgehen dass man es nicht macht.  Weiterhin übernehmen die auch bei Schadensersatzansprüchen nicht. Unfassbar, dass man so behandelt wird und man bleibt trotz Versicherung im Regen stehen. Scheinbar sind wir denen auch zu teuer geworden, da wir gegen die Krankenkasse und wegen Gdb sowie einem Blitzer in Anspruch nehmen mussten.",23. Oktober 2025,https://de.trustpilot.com/reviews/68fa848b0b155673fa4378f0
Ralph Ka,5,sachliche,"sachliche, qualifizierte Bearbeitung.",21. Oktober 2025,https://de.trustpilot.com/reviews/68f75bf9a8cb909b80a9b032
Hemmelmark,5,bisherige Zusammenarbeit,bisherige Zusammenarbeit war gut und soweit effektiv,18. Oktober 2025,https://de.trustpilot.com/reviews/68f3c2a31eea16ca79901959
Alfred Fischer,5,Erste Hilfe im Rechtschutz,"Aufgrund eines konkreten Falls habe ich mich telefonisch an meine Rechtschutzversicherung Örag gewandt.Ich konnte unmittelbar bei einem Rechtsanwalt, zu dem ich verbunden wurde, eine telefonische Erstberatung einholen. Es erfolgte eine sofortige Prüfung der Kostenübernahme und Einschätzung der Erfolgsaussichten.Ja sogar eine Anwaltsempfehlung in meiner Heimatstadt habe ich bekommen mit dem Hinweis dass ich natürlich selbstverständlich auch einen anderen Anwalt aufsuchen kann. Ich fühlte mich sehr gut aufgehoben und bestens betreut.Hervorragender Kundenservice, sehr freundlicher Umgangston am Telefon was leider heute nicht mehr selbstverständlich ist.Alfred Fischer",17. Oktober 2025,https://de.trustpilot.com/reviews/68f27819b95ea012d60c9724
Kunde Pankratz,5,Unkompliziert,"Unkompliziert, nette Beratung. Die App ist einfach und sicher zu bedienen.Danke.",15. Oktober 2025,https://de.trustpilot.com/reviews/68ef9a75ffa96348d8c0cd63
Alexandra Röschke,1,Ich habe seit 5 Jahren diese…,"Ich habe seit 5 Jahren diese Rechtsschutzversicherung und habe kürzlich sogar meine Haftpflicht dort abgeschlossen, was ich wahrscheinlich zur nächsten Kündigungsfrist korrigieren werde.Nun wurde ich gekündigt, da ich zu teuer bin, weil ich zwei Fälle in einem Jahr hatte, die angeblich den gesamten Betrag, den ich eingezahlt habe, um 10% überragen.Dies hat man mir am Telefon erklärt, nachdem einmal das Telefon in der Diskussion verstummte und beim zweimal wurde ich unzählige Male weitergeleitet.Es geht aktuell um eine Klage beim Sozialgericht.Dort fallen keine Gerichtsgebühren an und der Anwalt hat zwei Aktenzeichen für einen Fall erhalten, obwohl ich die Klage selbst eingereicht habe und erst danach den Anwalt zu Hilfe gezogen habe.Somit sind keine zwei Fälle in einem Jahr entstanden sondern lediglich zwei Aktenzeichen zu einem Fall.Zudem wurde mir eine Liste mit allen Fällen zugeschickt, nämlich insgesamt 6.Davon wurden zwei abgelehnt, ein Fall automatisch geschlossen obwohl ich noch keine Rechnung vom Anwalt erhalten habe und ein weiterer Fall wurde ebenfalls geschlossen aber scheinbar akzeptiert.Dabei hat man mir am Telefon gesagt, dass Unterhaltspflichtverletzung nicht abgedeckt ist, aber wenn ich erfolgreich war, dann kann ich mich nochmals melden.Was soll dies für eine Versicherung sein, die mir die Zusage erst erteilt, wenn ich erfolgreich war?Somit hat man mich auch noch belogen, denn der Schadensfall wurde aufgenommen, aber ich habe einmal über Prozesskostenhilfe einen Anwalt gehabt und einmal privat.Jeder weiß, dass man mit Prozesskostenhilfe keine Fälle gewinnt.Deswegen habe ich eine Rechtsschutzversicherung.Somit sind vier 0 Euro Fälle aufgelistet und zwei letzte Fälle in einem Jahr, die ein Fall sind.Das ist eine Frechheit.Ich nehme die Versicherung einmal tatsächlich mit einer Zuzahlung von mehreren hundert Euro in Anspruch und werde gekündigt, mit der Angabe von sechs Schäden, von denen vier keinerlei Auswirkungen hatten und 2 ein Schadensfall darstellen.Ich werde mich (kostenpflichtig für die ÖRAG und gratis für Verbraucher) über die:Versicherungsombudsmann e.V.beschweren, sollte meine Kündigung nicht zurückgezogen werden.Mein Fall vor dem Sozialgericht ist noch nicht Mal abgeschlossen und die Versicherung geht direkt davor aus, dass ich Kosten verursacht habe, obwohl die Krankenkasse die Kosten übernehmen muß, sollte ich gewinnen.Nachdem ein Fall verloren wurde, könnte ich dies noch verstehen, aber während der Klage zu kündigen, ist ein sehr kundenunfreundliches Vorgehen, zumal die Behauptung der hohen Kosten die ich verursacht habe, überhaupt noch nicht geklärt ist.Eine neue Versicherung, erhalte ich durch die Kündigung der ÖRAG allerdings nirgends mehr, auch wenn die Kosten von der Krankenkasse zurück erstattet werden müssen.Die Unterhaltspflichtverletzung war offensichtlich abgedeckt, sonst wäre die nicht aufgelistet und ohne Ankündigung geschlossen worden,Aber durch falsche Beratung am Telefon, konnte ich keinen vernünftigen Anwalt engagieren und die Unterhaltspflichtverletzung in Höhe eines 5 Stellingen Betrages, ist mir verloren gegangen.Am Telefon wollte man mir auch nicht die Bezeichnung der letzten zwei Schadensfälle zuschicken.Erst nach massiver Forderung wurde dem zugestimmt.Ob ich die Informationen noch zugeschickt bekomme, werde ich sehen.Ich würde mich freuen, wenn meine Kündigung erst ausgesprochen wird, wenn ich die Klage tatsächlich verlieren sollte und der ÖRAG tatsächlich Kosten durch mich entstanden sind, bzw wenn ich tatsächlich zwei Fälle innerhalb eines Jahres habe.",14. Oktober 2025,https://de.trustpilot.com/reviews/68ee8f793ce5ce10a7e299a8
Lukas Broll,1,Für mich ist das enttäuschend und unfair,"Ich war seit über 8 Jahren Kunde bei der ÖRAG Rechtsschutzversicherung und habe jedes Jahr ca. 300 € Beiträge bezahlt. In dieser ganzen Zeit hatte ich nie einen Fall – bis dieses Jahr, wo ich zweimal Rechtsschutz in Anspruch nehmen musste.Statt Unterstützung habe ich die Kündigung bekommen. Angeblich sind zwei Fälle schon „zu viel“. Die Kosten für dieses Jahr lagen bei rund 1.300 €, aber dass ich zuvor jahrelang regelmäßig gezahlt habe, ohne Leistungen zu beanspruchen, scheint keine Rolle zu spielen.Für mich ist das enttäuschend und unfair – nach so langer Treue einfach vor die Tür gesetzt zu werden. Ich kann die ÖRAG daher leider nicht weiterempfehlen.",14. Oktober 2025,https://de.trustpilot.com/reviews/68ee59bc887c86be66d33234
